PROGRAM_ID;PARAMETER;START_YEAR;END_YEAR;METHOD;METHOD_DESCRIPTION
LTM_ME;SIO2;2005;2009;EPA 22.0, Bran & Luebbe 785-86T;"Autoanalyzer. Handbook of Methods for Acid Deposition Studies:  Laboratory Analysis For Surface Water Chemistry, EPA 600/4-87-026, 1987. Bran and Luebbe, 1986.  Ammonium in water and wastewater, method 780-86T; silicates in water and wastewater, method 785-86T.  Technicon Industrial Systems Corp., Elsford, NY."
LTM_ME;MG;2005;2009;EPA 242.1;AAS with N20-acetylene flame. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
LTM_ME;Inconnu;2005;2009;EPA 258.1;AAS with air-acetylene flame. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
LTM_ME;K;2005;2009;EPA 273.1;AAS with air-acetylene flame. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
LTM_ME;SO4;2005;2009;EPA 300.0;Ion chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993.
LTM_ME;NO3;2005;2009;EPA 300.0;Ion chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993.
LTM_ME;CL;2005;2009;EPA 300.0;Ion chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993.
LTM_ME;DOC;2005;2009;EPA 415.1;IR C analyzer, persulfate oxidation. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
LTM_ME;PH_EQ;2005;2009;Hillman et al 1986, EPA 19.0;Electrode. Hillman,D.C., J. Potter, and S. Simon, 1986.  Analytical methods for the National Surface Water Survey, Eastern Lake Survey.  EPA/600/4-86/009, EPA Las Vegas. Handbook of Methods for Acid Deposition Studies:  Laboratory Analysis For Surface Water Chemistry, EPA 600/4-87-026, 1987.
LTM_ME;ANC;2005;2009;Hillman et al 1986, EPA 5.0;Gran Titration. Hillman,D.C., J. Potter, and S. Simon, 1986.  Analytical methods for the National Surface Water Survey, Eastern Lake Survey.  EPA/600/4-86/009, EPA Las Vegas. Handbook of Methods for Acid Deposition Studies:  Laboratory Analysis For Surface Water Chemistry, EPA 600/4-87-026, 1987.
LTM_ME;PH_LAB;2005;2009;Hillman et al 1986, EPA 5.0;Electrode. Hillman,D.C., J. Potter, and S. Simon, 1986.  Analytical methods for the National Surface Water Survey, Eastern Lake Survey.  EPA/600/4-86/009, EPA Las Vegas. Handbook of Methods for Acid Deposition Studies:  Laboratory Analysis For Surface Water Chemistry, EPA 600/4-87-026, 1987.
LTM_ME;AL_ORG;2005;2009;Unknown;Unknown
LTM_ME;COLOR_APP;2005;2009;Unknown;Unknown
LTM_ME;DIC;2005;2009;Unknown;Unknown
LTM_ME;N_TD;2005;2009;Unknown;Unknown
LTM_ME;PH_STVL;2005;2009;Unknown;Unknown
LTM_ME;P_TL;2005;2009;Unknown;Unknown
LTM_ME;TURB;2005;2009;Unknown;Unknown
LTM_ME;WTEMP;2005;2009;Unknown;Unknown
LTM_ALTM;COND;2010;2014;EPA 120.1, 2510 B;YSI @ 25C. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. 
LTM_ALTM;CA;2010;2014;EPA 215.1, 3111 B;"AAS Direct Aspiration. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American
Water Works Association, and Water Pollution Control Federation, 1992-2005."
LTM_ALTM;MG;2010;2014;EPA 242.1, 3111 B;AAS Direct Aspiration. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. 
LTM_ALTM;K;2010;2014;EPA 258.1, 3111 B;AAS Direct Aspiration. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. 
LTM_ALTM;Inconnu;2010;2014;EPA 273.1, 3111 B;AAS Direct Aspiration. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. 
LTM_ALTM;SO4;2010;2014;EPA 300.0, 4110 B;Ion Chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.
LTM_ALTM;NO3;2010;2014;EPA 300.0, 4110 B;Ion Chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.
LTM_ALTM;CL;2010;2014;EPA 300.0, 4110 B;Ion Chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.
LTM_ALTM;F;2010;2014;EPA 300.0, 4110 B;Ion Chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.
LTM_ALTM;NH4;2010;2014;EPA 350.1, 4500-NH3 G;Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th - 21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.
LTM_ALTM;P_TL;2010;2014;EPA 365.3, 4500-P I;Block Digest Flow Inject. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. 
LTM_ALTM;SIO2;2010;2014;EPA 366.0, 4500-SiO2 E;Automated Molybdosilicate. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. 
LTM_ALTM;CHL_A;2010;2014;EPA 445.0, 10200H;Flourometery. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. 
LTM_ALTM;PH_LAB;2010;2014;EPA AERP 05;Open, stirred. Handbook of Methods for Acidic Deposition Studies: Laboratory Analysis for Surface Water Chemistry, EPA 600/4-87-026. 
LTM_ALTM;PH_EQ;2010;2014;EPA AERP 05;278 ppm CO2. Handbook of Methods for Acidic Deposition Studies: Laboratory Analysis for Surface Water Chemistry, EPA 600/4-87-026. 
